id,tipo_persona,actividad_empresarial,fecha,comercio,giro_comercio,tipo_venta,monto,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,16/01/22,SPOTIFY,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,15.06,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,17/01/22,MIATT,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",digital,5.99,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,31/01/22,OXXO,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,3.92,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,31/01/22,OXXO,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,9.43,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,31/01/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,3.23,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,01/02/22,TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,digital,11.73,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,01/02/22,MIATT,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",digital,11.73,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,03/02/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,51.25,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,04/02/22,OXXO,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,45.85,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,04/02/22,TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,digital,3.69,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,04/02/22,TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,digital,3.69,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,16/02/22,SPOTIFY,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,15.06,,,,,,,,,,,,,
fd882b966a126fa90f9af3d7be697c3e9e2d812b,Persona Fisica Sin Actividad Empresarial,EMPLEADO DEL SECTOR INDUSTRIAL,18/02/22,TELCEL,SERVICIOS EMPRESARIALES - NO CLASIFICADOS,digital,11.73,,,,,,,,,,,,,
