id,tipo_persona,actividad_empresarial,fecha,comercio,giro_comercio,tipo_venta,monto
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,02/01/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,21.97
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,03/01/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,23.22
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,04/01/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,5.99
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,15/01/22,ITUNES,AGREGADOR,digital,2.19
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,15/01/22,SEARS,TIENDA DEPARTAMENTAL,digital,307.78
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,16/01/22,MERCADOPAGO,MERCADO DIRECTO - VENTAS POR CATALOGO,digital,5.99
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,23/01/22,DIDIRIDES,"LIMOSINAS, (TAXIS)",digital,15.52
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,23/01/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,5.99
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,26/01/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,215.09
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,27/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,8.28
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,28/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,8.27
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,29/01/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,11.73
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,02/02/22,CARLSJR,COMIDA RAPIDA,fisica,16.33
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,04/02/22,WALMART,AUTOSERVICIOS Y SUPERMERCADOS,fisica,149.5
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,06/02/22,BAIT,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,23.22
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,06/02/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,23.22
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,08/02/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,36.15
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,11/02/22,OXXO,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,6.89
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,13/02/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,11.73
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,14/02/22,SEARS,TIENDA DEPARTAMENTAL,digital,164.41
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,15/02/22,ITUNES,AGREGADOR,digital,2.19
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,15/02/22,MERCADOPAGO,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,11.73
fdf02d0a51b8680e60bdb3aec28553729f2d4145,Persona Fisica Sin Actividad Empresarial,COMPRA VENTA DE ARTICULOS NO CLASIFICADOS EN OTRA PARTE,19/02/22,STARBUCKS,COMIDA RAPIDA,fisica,12.3
